TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	Rud
4166	0.301541	2.142511	-0.298162
4176	0.303403	2.145585	-0.298162
4184	0.305188	2.148221	-0.298162
4194	0.308075	2.152334	-0.283475
4203	0.310446	2.155065	-0.283475
4212	0.313512	2.157848	-0.283475
4220	0.316875	2.160690	-0.283475
4229	0.322429	2.164966	-0.283475
4239	0.327475	2.168349	-0.268573
4251	0.331161	2.171225	-0.253460
4257	0.335094	2.174141	-0.253460
4266	0.341384	2.178623	-0.253460
4276	0.344874	2.181654	-0.253460
4283	0.348383	2.184711	-0.253460
4292	0.352910	2.187778	-0.238827
4304	0.358115	2.191380	-0.238827
4311	0.363344	2.196091	-0.238827
4320	0.366812	2.199234	-0.238827
4329	0.369730	2.202436	-0.238827
4338	0.372567	2.205582	-0.224294
4346	0.377277	2.210444	-0.224294
4360	0.381676	2.213656	-0.210353
4366	0.384748	2.217415	-0.210353
4374	0.387802	2.220642	-0.210353
4384	0.393487	2.225586	-0.210353
4392	0.396732	2.228904	-0.196905
4401	0.398344	2.232200	-0.196905
4410	0.400757	2.235500	-0.196905
4420	0.403125	2.241012	-0.196905
4428	0.404115	2.244238	-0.196905
4437	0.405589	2.247520	-0.182071
4447	0.406298	2.250817	-0.182071
4455	0.405289	2.255744	-0.182071
4473	0.406358	2.262170	-0.167202
4482	0.405006	2.265924	-0.167202
4491	0.402022	2.269100	-0.153554
4503	0.397271	2.273861	-0.153554
4509	0.394006	2.276972	-0.153554
4518	0.390839	2.279990	-0.153554
4527	0.387420	2.282982	-0.153554
4535	0.381864	2.287480	-0.140064
4546	0.377632	2.290865	-0.140064
4555	0.374523	2.293731	-0.140064
4563	0.371988	2.296581	-0.140064
4577	0.368796	2.300824	-0.140064
4662	0.342968	2.329944	-0.112403
4672	0.338892	2.332776	-0.112403
4690	0.332252	2.338716	-0.097117
4698	0.329770	2.341041	-0.097117
4708	0.326277	2.343289	-0.097117
4716	0.322554	2.345549	-0.097117
4726	0.318553	2.348936	-0.097117
4735	0.314992	2.351494	-0.097117
4743	0.312701	2.353631	-0.081437
4752	0.310297	2.355772	-0.081437
4761	0.304198	2.358976	-0.081437
4771	0.300011	2.361017	-0.081437
4780	0.296478	2.363055	-0.081437
4791	0.292390	2.365048	-0.064750
4799	0.286030	2.368461	-0.064750
4806	0.281888	2.370362	-0.064750
4816	0.277438	2.372181	-0.064750
4825	0.273502	2.373978	-0.064750
4834	0.268848	2.375758	-0.064750
4843	0.262432	2.378521	-0.046886
4852	0.257414	2.380275	-0.046886
4861	0.251401	2.382243	-0.046886
4870	0.246116	2.383866	-0.046886
